Word	Hints
Agastya	A great sage whose life-story the Pandavas learnt while on pilgrimage to holy places, his wife Lopamudra.
Agni	Fire god
Airavata	Indras elephant.
Ajatashatru	Having no enemy, friend of all born things, an epithet of Yudhishthira.
Amaravati	City of Indra
Ananta	The thousand-headed naga that issued from Balramas mouth
Anusuya	Wife of the sage Atri and mother of Dattatreya
Arundhati	Wife of sage Vashishta. She was one of the nine daughters of Kardama Prajapati and his wife Devahuti.
Ashwamedha	The horse sacrifice
Astavakra	Was curved in eight joints of his bodily structure and thus he used to move on in a peculiar curved manner
Badarikasram	Place sacred to Vishnu, near the Ganges in the Himalayas
Bhagiratha	Son of Dilipa, king of Kosala who worshipped Shiva and brought down Ganges.
Bharadwaja	A rishi, father of Yavakrida.
Brahmastra	A divine weapon,  one given by Lord Brahma himself.
Brihaspati	Father of Kacha and priest of devas
Caitanya	Golden avatar 
Daksha	one of the Prajapatis, the Rishis and the Adityas, and a son of Brahma.
Dakshayani	Worshipped particularly by ladies to seek the long life of their husbands.
Damayanti	She is the wife of Nala Maharaj
Devayani	The beautiful daughter of Shukracharaya
Dhanvantari	Physician of the gods, and is the god of Ayurvedic medicine.
Dhruva	Prince blessed to eternal existence and glory as the Pole Star
Dilipa	Son of Anshuman and father of Bhagiratha.
Durvasa	An ancient sage known for his anger
Dushyanta	King of the Lunar, race, and descended from Puru. Husband of Sakuntala
Gajasura	Elephant demon is the name used to refer to demon Nila
Gandharvas	A class of celestial beings regarded as specialists in music.
Ganesha	The god of good fortune, commonly identified for his elephant head.
Ganges	Holyest river - link to lord shiva
Garuda	Bird associated with Lord Narayana
Gayatri	A revered mantra in Hinduism, found in the Yajur Veda.
Grihastha	Second Ashrama - Householders life
Indra	King of the Gods. The chief deity of the Rigveda
Kailash	Holy mountain abode of Lord Shiva
Kalindi	Daughter of the Surya (Sun) who marries Lord Krishna while he was ruling at Dwarka
Kalki	The tenth Avatar of Vishnu who is yet to come and will appear as a man on a horse at the end of Kali Yug.
Kamadhenu	Divine cow, she could grant any wish for the true seeker
Kapila	A Vedic sage credited as one of the founders of the Samkhya school of philosophy
Karkotaka	The naga who bit Nala at the request of Indra, transforming Nala into a twisted and ugly shape.
Kartavirya	A great warrior who defeated Ravana, King of Lanka.
Kartikeya	Commander of the armies of the devas, A god born out of a magical spark created by Shiva
Kashyapa	An ancient sage, father of the Devas, Asuras, Nagas and all of humanity. He is married to Aditi
Kaustubha	Is a divine jewel - in the possession of lord Vishnu.
Kripacharya	Ashwathamas uncle who advocated a combined assault on Arjuna in battle.
Kshatriya	Varna for Warrior class people
Kubera	One of the gods of wealth and riches.
Kurma	Tortoise, The second Avatar of Vishnu
Lakshmi	Goddess of prosperity, wealth and good fortune.
Lopamudra	Daughter of the king of Vidarbha who married the sage Agastya.
Madhava	One of the names of Krishna. It means the Lord of Lakshmi.
Manasarovar	A sacred lake in the Himalayas
Mandavya	A sage wrongly punished by the king
Markandeya	A sage who told Yudhishthira the story of a brahmana, Kausika.
Matsya	The first Avatar of Vishnu, where he came in the form of a fish
Menaka	Sent by Indra to break the severe penance undertaken by Vishwamitra.
Meru	An ancient mountain and mythical centre of the universe
Muchukunda	Great sage who kills Kalayavan, the great Yavana warrior king
Nachiketa	The boy who had conversation with Yamaraj and got boons
Nahusha	A mighty king who was made king of the gods because Indra had disappeared
Naimisaranya	Srimad bagavatham was spoken in this forest
Nandini	Vasishtha's divinely beautiful cow, child of Kamadhenu.
Narada	Divine sage, who is an enduring chanter of the names Hari and Narayana 
Narasimha	The fourth Avatar of Vishnu. He is a mixed form of a man and a lion.
Navaratri	10 Day Festival workshiping Durga
Parasara	A great sage, father of Veda Vyasa.
Parashurama	Sixth avatara of Vishnu, the son of Jamadagni.
Parikshit	Son of Abhimanyu
Parvati	Consort of Shiva and mother of Ganesha
Pundarikaksha	Krishna, the lotus-eyed one.
Purushottama	Names of Vishnu and means the Supreme Being.
Rambha	An apsara in the court of Indra.
Rishabhadev	Father of Bharat Maharaj
Rishyasringa	Son of sage Vibhandaka, who had grown up seeing no mortal except his father
Rudra	Fearsome, Name of Lord Shiva
Saraswati	Consort of Lord Brahma - Deity of Education
Sati	One of name of Dakshayani
Savitri	Wife of Satyavan.
Shachi	Wife of Indra
Shakuntala	Mother of Emperor Bharata and the wife of Dushyanta.
Shiva	Commonly known as the destroyer and is the third god of the Trimurti.
Shukracharya	Guru of the Asuras, he is also associated with the planet Shukra
Soma	A ritual drink mentioned in the Rigveda
Suka	A sage, son of Vyasa, who related the Bhagavata Purana to King Parikshit
Suniti	Mother of Dhruva.
Surabhi	The wish-bestowing cow that came first from the sea in the process of churning of the Ocean
Surya	The sun god
Tilottama	An Apsaras. Created by Vishwakarma from Tila seeds
